,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-22,-204.69499497126282,-7815.330233731516,8173.71535463943,-204.69499497126282,-204.69499497126282,241.33066806605072,241.33066806605072,241.33066806605072,241.33066806605072,241.33066806605072,241.33066806605072,0.0,0.0,0.0,36.635673094787904
1,2020-01-23,-197.8693014471437,-8151.7547534426585,8169.824434338926,-197.8693014471437,-197.8693014471437,454.4153408286468,454.4153408286468,454.4153408286468,454.4153408286468,454.4153408286468,454.4153408286468,0.0,0.0,0.0,256.5460393815031
2,2020-01-24,-191.04360792302455,-8728.935964894104,6950.110455893098,-191.04360792302455,-191.04360792302455,-474.23323044412876,-474.23323044412876,-474.23323044412876,-474.23323044412876,-474.23323044412876,-474.23323044412876,0.0,0.0,0.0,-665.2768383671533
3,2020-01-25,-184.21791439890544,-8354.582495205677,6575.768462442111,-184.21791439890544,-184.21791439890544,-307.94753253578955,-307.94753253578955,-307.94753253578955,-307.94753253578955,-307.94753253578955,-307.94753253578955,0.0,0.0,0.0,-492.16544693469496
4,2020-01-26,-177.3922208747863,-8591.745181921407,7540.9943878487065,-177.3922208747863,-177.3922208747863,-52.664102174462926,-52.664102174462926,-52.664102174462926,-52.664102174462926,-52.664102174462926,-52.664102174462926,0.0,0.0,0.0,-230.05632304924922
5,2020-01-27,-170.56652735066717,-8697.837284595995,8095.337769262897,-170.56652735066717,-170.56652735066717,-18.151795448134457,-18.151795448134457,-18.151795448134457,-18.151795448134457,-18.151795448134457,-18.151795448134457,0.0,0.0,0.0,-188.71832279880164
6,2020-01-28,-163.74080385163677,-7220.897967009456,7775.273133098185,-163.74080385163677,-163.74080385163677,157.25065170534967,157.25065170534967,157.25065170534967,157.25065170534967,157.25065170534967,157.25065170534967,0.0,0.0,0.0,-6.490152146287102
7,2020-01-29,-156.91508035260634,-7795.6118463323055,8256.030289928927,-156.91508035260634,-156.91508035260634,241.33066806564514,241.33066806564514,241.33066806564514,241.33066806564514,241.33066806564514,241.33066806564514,0.0,0.0,0.0,84.4155877130388
8,2020-01-30,-150.08935685357596,-7715.716548872904,7510.39715407839,-150.08935685357596,-150.08935685357596,454.4153408283073,454.4153408283073,454.4153408283073,454.4153408283073,454.4153408283073,454.4153408283073,0.0,0.0,0.0,304.32598397473134
9,2020-01-31,-143.26363335454556,-9021.677711299606,7496.885769664685,-143.26363335454556,-143.26363335454556,-474.233230441805,-474.233230441805,-474.233230441805,-474.233230441805,-474.233230441805,-474.233230441805,0.0,0.0,0.0,-617.4968637963506
10,2020-02-01,-136.4378269301647,-8253.110779306564,7471.304494729893,-136.4378269301647,-136.4378269301647,-307.9475325348087,-307.9475325348087,-307.9475325348087,-307.9475325348087,-307.9475325348087,-307.9475325348087,0.0,0.0,0.0,-444.3853594649734
11,2020-02-02,-129.6120205057839,-8081.73563578801,7407.579766862377,-129.6120205057839,-129.6120205057839,-52.664102173982876,-52.664102173982876,-52.664102173982876,-52.664102173982876,-52.664102173982876,-52.664102173982876,0.0,0.0,0.0,-182.2761226797668
12,2020-02-03,-122.78621408140306,-8298.745908837991,7826.240553975611,-122.78621408140306,-122.78621408140306,-18.15179544804813,-18.15179544804813,-18.15179544804813,-18.15179544804813,-18.15179544804813,-18.15179544804813,0.0,0.0,0.0,-140.9380095294512
13,2020-02-04,-115.96040765702222,-7963.6069761404215,8149.104629825637,-115.96040765702222,-115.96040765702222,157.2506517057402,157.2506517057402,157.2506517057402,157.2506517057402,157.2506517057402,157.2506517057402,0.0,0.0,0.0,41.290244048717994
14,2020-02-05,-109.1346012326414,-7232.464154646834,7737.134996329523,-109.1346012326414,-109.1346012326414,241.33066806622347,241.33066806622347,241.33066806622347,241.33066806622347,241.33066806622347,241.33066806622347,0.0,0.0,0.0,132.19606683358205
15,2020-02-06,-102.30878354439442,-7278.866383785574,8076.215891615819,-102.30878354439442,-102.30878354439442,454.41534082992933,454.41534082992933,454.41534082992933,454.41534082992933,454.41534082992933,454.41534082992933,0.0,0.0,0.0,352.1065572855349
16,2020-02-07,-95.48296585614744,-9010.103739099783,7651.779477740261,-95.48296585614744,-95.48296585614744,-474.23323044260326,-474.23323044260326,-474.23323044260326,-474.23323044260326,-474.23323044260326,-474.23323044260326,0.0,0.0,0.0,-569.7161962987507
17,2020-02-08,-88.65714816790044,-8263.717727551197,7920.084201964883,-88.65714816790044,-88.65714816790044,-307.94753253578347,-307.94753253578347,-307.94753253578347,-307.94753253578347,-307.94753253578347,-307.94753253578347,0.0,0.0,0.0,-396.6046807036839
18,2020-02-09,-81.83133047965347,-8303.856885590014,7817.089542173952,-81.83133047965347,-81.83133047965347,-52.66410217350284,-52.66410217350284,-52.66410217350284,-52.66410217350284,-52.66410217350284,-52.66410217350284,0.0,0.0,0.0,-134.4954326531563
19,2020-02-10,-75.00551279140649,-8122.345260009136,8030.948194969366,-75.00551279140649,-75.00551279140649,-18.151795447216415,-18.151795447216415,-18.151795447216415,-18.151795447216415,-18.151795447216415,-18.151795447216415,0.0,0.0,0.0,-93.1573082386229
20,2020-02-11,-68.1796470209562,-7555.471485648701,7870.2842598819225,-68.1796470209562,-68.1796470209562,157.25065170514227,157.25065170514227,157.25065170514227,157.25065170514227,157.25065170514227,157.25065170514227,0.0,0.0,0.0,89.07100468418608
21,2020-02-12,-61.35378125050592,-7547.286784835558,8302.679980550502,-61.35378125050592,-61.35378125050592,241.33066806680196,241.33066806680196,241.33066806680196,241.33066806680196,241.33066806680196,241.33066806680196,0.0,0.0,0.0,179.97688681629603
22,2020-02-13,-54.527915480055604,-7689.333798998933,8401.167727942373,-54.527915480055604,-54.527915480055604,454.41534082958987,454.41534082958987,454.41534082958987,454.41534082958987,454.41534082958987,454.41534082958987,0.0,0.0,0.0,399.8874253495343
23,2020-02-14,-47.702049709605326,-8091.28887700995,7481.044573831119,-47.702049709605326,-47.702049709605326,-474.2332304428361,-474.2332304428361,-474.2332304428361,-474.2332304428361,-474.2332304428361,-474.2332304428361,0.0,0.0,0.0,-521.9352801524415
24,2020-02-15,-40.876183939155055,-8484.139772807011,7855.5592559507695,-40.876183939155055,-40.876183939155055,-307.94753253480235,-307.94753253480235,-307.94753253480235,-307.94753253480235,-307.94753253480235,-307.94753253480235,0.0,0.0,0.0,-348.8237164739574
25,2020-02-16,-34.05027267524873,-7899.2907652614085,7905.486618844319,-34.05027267524873,-34.05027267524873,-52.664102174219565,-52.664102174219565,-52.664102174219565,-52.664102174219565,-52.664102174219565,-52.664102174219565,0.0,0.0,0.0,-86.7143748494683
26,2020-02-17,-27.22436141134236,-7721.155841526014,7950.479839549373,-27.22436141134236,-27.22436141134236,-18.15179544874212,-18.15179544874212,-18.15179544874212,-18.15179544874212,-18.15179544874212,-18.15179544874212,0.0,0.0,0.0,-45.37615686008448
27,2020-02-18,-20.398450147436016,-7812.460670711896,7968.9728736472425,-20.398450147436016,-20.398450147436016,157.2506517046057,157.2506517046057,157.2506517046057,157.2506517046057,157.2506517046057,157.2506517046057,0.0,0.0,0.0,136.85220155716968
28,2020-02-19,-13.57253888352965,-7161.712116059817,7838.68828189659,-13.57253888352965,-13.57253888352965,241.3306680663964,241.3306680663964,241.3306680663964,241.3306680663964,241.3306680663964,241.3306680663964,0.0,0.0,0.0,227.75812918286675
29,2020-02-20,-6.746513277370652,-7026.4671585808865,8249.35048314356,-6.746513277370652,-6.746513277370652,454.41534082920964,454.41534082920964,454.41534082920964,454.41534082920964,454.41534082920964,454.41534082920964,0.0,0.0,0.0,447.668827551839
30,2020-02-21,0.0795123287883874,-8161.819134427576,6924.172294189419,0.0795123287883874,0.0795123287883874,-474.233230443069,-474.233230443069,-474.233230443069,-474.233230443069,-474.233230443069,-474.233230443069,0.0,0.0,0.0,-474.1537181142806
31,2020-02-22,6.905537934947385,-8407.31691463833,7458.507522000095,6.905537934947385,6.905537934947385,-307.9475325360424,-307.9475325360424,-307.9475325360424,-307.9475325360424,-307.9475325360424,-307.9475325360424,0.0,0.0,0.0,-301.041994601095
32,2020-02-23,13.731563541106425,-7692.7570231233085,7819.776427478938,13.731563541106425,13.731563541106425,-52.664102172542705,-52.664102172542705,-52.664102172542705,-52.664102172542705,-52.664102172542705,-52.664102172542705,0.0,0.0,0.0,-38.93253863143628
33,2020-02-24,20.55758914726542,-8183.894547327802,7764.684791027325,20.55758914726542,20.55758914726542,-18.15179544791042,-18.15179544791042,-18.15179544791042,-18.15179544791042,-18.15179544791042,-18.15179544791042,0.0,0.0,0.0,2.4057936993550015
34,2020-02-25,27.383742198543953,-8088.712025468143,8213.191011153116,27.383742198543953,27.383742198543953,157.25065170592333,157.25065170592333,157.25065170592333,157.25065170592333,157.25065170592333,157.25065170592333,0.0,0.0,0.0,184.6343939044673
35,2020-02-26,34.209895249822445,-7427.936756529152,8462.511919617995,34.209895249822445,34.209895249822445,241.33066806697488,241.33066806697488,241.33066806697488,241.33066806697488,241.33066806697488,241.33066806697488,0.0,0.0,0.0,275.5405633167973
36,2020-02-27,41.036048301100976,-7785.6847547776515,8831.012645631248,41.036048301100976,41.036048301100976,454.4153408309132,454.4153408309132,454.4153408309132,454.4153408309132,454.4153408309132,454.4153408309132,0.0,0.0,0.0,495.4513891320141
37,2020-02-28,47.862201352379465,-8365.275691312236,7850.804511109619,47.862201352379465,47.862201352379465,-474.23323044330186,-474.23323044330186,-474.23323044330186,-474.23323044330186,-474.23323044330186,-474.23323044330186,0.0,0.0,0.0,-426.3710290909224
38,2020-02-29,54.68835440365792,-7891.779835908776,7603.8458629981715,54.68835440365792,54.68835440365792,-307.94753253506144,-307.94753253506144,-307.94753253506144,-307.94753253506144,-307.94753253506144,-307.94753253506144,0.0,0.0,0.0,-253.25917813140353
39,2020-03-01,66.39608512716214,-7739.4145030586915,7666.285459462557,66.39608512716214,66.39608512716214,-52.66410217440292,-52.66410217440292,-52.66410217440292,-52.66410217440292,-52.66410217440292,-52.66410217440292,0.0,0.0,0.0,13.731982952759218
40,2020-03-02,78.10381585066654,-7543.508383193571,8580.36134463494,78.10381585066654,78.10381585066654,-18.151795448257424,-18.151795448257424,-18.151795448257424,-18.151795448257424,-18.151795448257424,-18.151795448257424,0.0,0.0,0.0,59.95202040240911
41,2020-03-03,89.81154657417076,-8329.932205903571,8220.407061049042,89.81154657417076,89.81154657417076,157.25065170538676,157.25065170538676,157.25065170538676,157.25065170538676,157.25065170538676,157.25065170538676,0.0,0.0,0.0,247.06219827955752
42,2020-03-04,101.5192772976749,-8310.546862017833,8441.051154748078,101.5192772976749,101.5192772976749,241.3306680659684,241.3306680659684,241.3306680659684,241.3306680659684,241.3306680659684,241.3306680659684,0.0,0.0,0.0,342.8499453636433
43,2020-03-05,119.41133624214254,-7292.025637447674,7919.9554308271145,119.41133624214254,119.41133624214254,454.4153408304922,454.4153408304922,454.4153408304922,454.4153408304922,454.4153408304922,454.4153408304922,0.0,0.0,0.0,573.8266770726348
44,2020-03-06,137.30339518661017,-8374.6686457016,7841.98755449897,137.30339518661017,137.30339518661017,-474.23323044410006,-474.23323044410006,-474.23323044410006,-474.23323044410006,-474.23323044410006,-474.23323044410006,0.0,0.0,0.0,-336.9298352574899
45,2020-03-07,155.1954541310778,-7798.3707980674435,8279.648108964882,155.1954541310778,155.1954541310778,-307.9475325360362,-307.9475325360362,-307.9475325360362,-307.9475325360362,-307.9475325360362,-307.9475325360362,0.0,0.0,0.0,-152.75207840495838
46,2020-03-08,173.08751307554544,-7614.073857428493,8072.219843028112,173.08751307554544,173.08751307554544,-52.664102175119694,-52.664102175119694,-52.664102175119694,-52.664102175119694,-52.664102175119694,-52.664102175119694,0.0,0.0,0.0,120.42341090042575
47,2020-03-09,190.9795720200129,-7399.633437470634,8606.271692016533,190.9795720200129,190.9795720200129,-18.1517954481711,-18.1517954481711,-18.1517954481711,-18.1517954481711,-18.1517954481711,-18.1517954481711,0.0,0.0,0.0,172.8277765718418
48,2020-03-10,213.1724450242408,-7875.315607909023,8144.693744077707,213.1724450242408,213.1724450242408,157.25065170577727,157.25065170577727,157.25065170577727,157.25065170577727,157.25065170577727,157.25065170577727,0.0,0.0,0.0,370.4230967300181
49,2020-03-11,235.3653180284685,-7548.4705924107775,8146.982510929645,235.3653180284685,235.3653180284685,241.33066806605487,241.33066806605487,241.33066806605487,241.33066806605487,241.33066806605487,241.33066806605487,0.0,0.0,0.0,476.6959860945234
50,2020-03-12,257.558191032696,-7468.207405785381,8248.809685215103,257.558191032696,257.558191032696,454.4153408301527,454.4153408301527,454.4153408301527,454.4153408301527,454.4153408301527,454.4153408301527,0.0,0.0,0.0,711.9735318628486
51,2020-03-13,279.75106403692376,-8124.818797251011,8372.612628095574,279.75106403692376,279.75106403692376,-474.2332304437677,-474.2332304437677,-474.2332304437677,-474.2332304437677,-474.2332304437677,-474.2332304437677,0.0,0.0,0.0,-194.48216640684393
52,2020-03-14,301.9439370411518,-7707.811543420214,8284.781162433646,301.9439370411518,301.9439370411518,-307.9475325350552,-307.9475325350552,-307.9475325350552,-307.9475325350552,-307.9475325350552,-307.9475325350552,0.0,0.0,0.0,-6.00359549390339
53,2020-03-15,328.0417058811962,-8277.769449602394,8449.28179851254,328.0417058811962,328.0417058811962,-52.6641021746396,-52.6641021746396,-52.6641021746396,-52.6641021746396,-52.6641021746396,-52.6641021746396,0.0,0.0,0.0,275.3776037065566
54,2020-03-16,354.1394747212408,-7359.7074224979115,8283.686458456996,354.1394747212408,354.1394747212408,-18.151795448518115,-18.151795448518115,-18.151795448518115,-18.151795448518115,-18.151795448518115,-18.151795448518115,0.0,0.0,0.0,335.9876792727227
55,2020-03-17,380.2372435612854,-7455.36456822273,8197.756151070367,380.2372435612854,380.2372435612854,157.25065170524067,157.25065170524067,157.25065170524067,157.25065170524067,157.25065170524067,157.25065170524067,0.0,0.0,0.0,537.487895266526
56,2020-03-18,406.33501240133,-7022.278677283044,8754.056735690712,406.33501240133,406.33501240133,241.33066806614136,241.33066806614136,241.33066806614136,241.33066806614136,241.33066806614136,241.33066806614136,0.0,0.0,0.0,647.6656804674714
57,2020-03-19,432.4327812413746,-7101.355707333148,9117.238441078794,432.4327812413746,432.4327812413746,454.4153408298132,454.4153408298132,454.4153408298132,454.4153408298132,454.4153408298132,454.4153408298132,0.0,0.0,0.0,886.8481220711878
58,2020-03-20,469.55379842668685,-8085.607098582926,8052.906912907285,469.55379842668685,469.55379842668685,-474.23323044257455,-474.23323044257455,-474.23323044257455,-474.23323044257455,-474.23323044257455,-474.23323044257455,0.0,0.0,0.0,-4.6794320158876985
59,2020-03-21,506.6748156119991,-7748.758043287411,8575.715430888202,506.6748156119991,506.6748156119991,-307.94753253505206,-307.94753253505206,-307.94753253505206,-307.94753253505206,-307.94753253505206,-307.94753253505206,0.0,0.0,0.0,198.72728307694706
60,2020-03-22,543.7958327973114,-7964.840466328783,8116.014411125836,543.7958327973114,543.7958327973114,-52.664102174159545,-52.664102174159545,-52.664102174159545,-52.664102174159545,-52.664102174159545,-52.664102174159545,0.0,0.0,0.0,491.13173062315184
61,2020-03-23,580.916849982624,-7918.540938468705,7747.164360558992,580.916849982624,580.916849982624,-18.151795447686396,-18.151795447686396,-18.151795447686396,-18.151795447686396,-18.151795447686396,-18.151795447686396,0.0,0.0,0.0,562.7650545349376
62,2020-03-24,626.0382584532595,-6930.233349107136,8485.42937389418,626.0382584532595,626.0382584532595,157.25065170655836,157.25065170655836,157.25065170655836,157.25065170655836,157.25065170655836,157.25065170655836,0.0,0.0,0.0,783.2889101598178
63,2020-03-25,671.159666923895,-7747.842858495289,9044.940656864943,671.159666923895,671.159666923895,241.33066806562692,241.33066806562692,241.33066806562692,241.33066806562692,241.33066806562692,241.33066806562692,0.0,0.0,0.0,912.4903349895219
64,2020-03-26,716.2810753945308,-6722.203088836162,8971.328756496056,716.2810753945308,716.2810753945308,454.41534082939216,454.41534082939216,454.41534082939216,454.41534082939216,454.41534082939216,454.41534082939216,0.0,0.0,0.0,1170.696416223923
65,2020-03-27,761.4024838651663,-7355.623221942325,8283.288622547858,761.4024838651663,761.4024838651663,-474.2332304428074,-474.2332304428074,-474.2332304428074,-474.2332304428074,-474.2332304428074,-474.2332304428074,0.0,0.0,0.0,287.16925342235896
66,2020-03-28,806.5238923358015,-7369.496153605991,9199.258743429527,806.5238923358015,806.5238923358015,-307.947532535049,-307.947532535049,-307.947532535049,-307.947532535049,-307.947532535049,-307.947532535049,0.0,0.0,0.0,498.5763598007525
67,2020-03-29,1094.2660630745424,-6903.863031798304,9100.32422017179,1094.2660630745424,1094.2660630745424,-52.664102173679474,-52.664102173679474,-52.664102173679474,-52.664102173679474,-52.664102173679474,-52.664102173679474,0.0,0.0,0.0,1041.6019609008629
68,2020-03-30,1382.0082338132886,-6440.5279422829035,9344.122982340108,1382.0082338132886,1382.0082338132886,-18.15179544921211,-18.15179544921211,-18.15179544921211,-18.15179544921211,-18.15179544921211,-18.15179544921211,0.0,0.0,0.0,1363.8564383640764
69,2020-03-31,1669.750404552032,-6299.109670732689,9526.414979150692,1669.750404552032,1669.750404552032,157.25065170503325,157.25065170503325,157.25065170503325,157.25065170503325,157.25065170503325,157.25065170503325,0.0,0.0,0.0,1827.0010562570653
70,2020-04-01,1957.492575290773,-5149.6454323821035,10285.391646637841,1957.492575290773,1957.492575290773,241.33066806571335,241.33066806571335,241.33066806571335,241.33066806571335,241.33066806571335,241.33066806571335,0.0,0.0,0.0,2198.8232433564863
71,2020-04-02,2245.2347460295164,-5366.741034298986,11057.741097654869,2245.2347460295164,2245.2347460295164,454.4153408290527,454.4153408290527,454.4153408290527,454.4153408290527,454.4153408290527,454.4153408290527,0.0,0.0,0.0,2699.650086858569
72,2020-04-03,2726.241587408498,-5405.4906660424385,10019.01973783229,2726.241587408498,2726.241587408498,-474.2332304436055,-474.2332304436055,-474.2332304436055,-474.2332304436055,-474.2332304436055,-474.2332304436055,0.0,0.0,0.0,2252.0083569648928
73,2020-04-04,3207.2484287874695,-5043.548210701467,11114.853652346172,3207.2484287874695,3207.2484287874695,-307.947532536289,-307.947532536289,-307.947532536289,-307.947532536289,-307.947532536289,-307.947532536289,0.0,0.0,0.0,2899.3008962511803
74,2020-04-05,3688.255270166446,-4130.484291248296,11460.927469399527,3688.255270166446,3688.255270166446,-52.66410217553968,-52.66410217553968,-52.66410217553968,-52.66410217553968,-52.66410217553968,-52.66410217553968,0.0,0.0,0.0,3635.5911679909063
75,2020-04-06,4169.262111545422,-3590.577707764124,12770.99508578858,4169.262111545422,4169.262111545422,-18.15179544838041,-18.15179544838041,-18.15179544838041,-18.15179544838041,-18.15179544838041,-18.15179544838041,0.0,0.0,0.0,4151.1103160970415
76,2020-04-07,4650.268952924399,-3306.9355823931437,12328.561566036518,4650.268952924399,4650.268952924399,157.25065170542382,157.25065170542382,157.25065170542382,157.25065170542382,157.25065170542382,157.25065170542382,0.0,0.0,0.0,4807.519604629822
77,2020-04-08,5580.319950856808,-1796.8962655495218,14167.726769195746,5580.319950856808,5580.319950856808,241.33066806579976,241.33066806579976,241.33066806579976,241.33066806579976,241.33066806579976,241.33066806579976,0.0,0.0,0.0,5821.6506189226075
78,2020-04-09,6510.3709487892165,-905.5917191480914,14550.8560524963,6510.3709487892165,6510.3709487892165,454.41534082867247,454.41534082867247,454.41534082867247,454.41534082867247,454.41534082867247,454.41534082867247,0.0,0.0,0.0,6964.7862896178885
79,2020-04-10,7440.421946721625,-745.3819733202711,15125.28553189519,7440.421946721625,7440.421946721625,-474.23323044327327,-474.23323044327327,-474.23323044327327,-474.23323044327327,-474.23323044327327,-474.23323044327327,0.0,0.0,0.0,6966.188716278352
80,2020-04-11,8370.472944654044,502.04827668886026,16154.414348774597,8370.472944654044,8370.472944654044,-307.9475325353079,-307.9475325353079,-307.9475325353079,-307.9475325353079,-307.9475325353079,-307.9475325353079,0.0,0.0,0.0,8062.525412118736
81,2020-04-12,9437.537960253852,1908.8403152361961,17090.794845001183,9437.537960253852,9437.537960253852,-52.664102173862766,-52.664102173862766,-52.664102173862766,-52.664102173862766,-52.664102173862766,-52.664102173862766,0.0,0.0,0.0,9384.873858079989
